Visa subclass,Base application charge,Additional applicant charge 18 and over,Additional applicant charge under 18,Non-internet application charge,Subsequent temporary application charge
Dependent Child visa (subclass 445) ,"AUD3,235.00 ","AUD1,615.00 ",AUD810.00 ,N/A ,N/A 
Diplomatic (Temporary) (subclass 995) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A
Distinguished Talent visa (subclass 124) ,"AUD4,110.00 ","AUD2,055.00 ","AUD1,030.00 ",N/A ,N/A 
Electronic Travel Authority (subclass 601) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Employer Nomination Scheme visa (subclass 186) - Direct Entry stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Employer Nomination Scheme visa (subclass 186) - Labour agreement stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Employer Nomination Scheme visa (subclass 186) - Temporary Residence Transition stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
eVisitor (subclass 651) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Former Resident visa (subclass 151) ,"AUD4,805.00 ","AUD2,400.00 ","AUD1,200.00 ",N/A ,N/A 
Global Special Humanitarian visa (subclass 202) ,AUD570.00 ,N/A ,N/A ,N/A ,N/A 
Investor Retirement visa (subclass 405) ,AUD505.00 ,AUD255.00 ,AUD125.00 ,N/A ,N/A 
Investor visa (subclass 891) ,"AUD2,890.00 ","AUD1,445.00 ",AUD720.00 ,N/A ,N/A 
Maritime Crew visa (subclass 988) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Medical Treatment visa (subclass 602) - Inside Australia ,AUD380.00 ,AUD190.00 ,AUD95.00 ,N/A ,N/A 
Medical Treatment visa (subclass 602) - Outside Australia ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
National Innovation visa (subclass 858)  ,"AUD4,985.00 ","AUD2,495.00 ","AUD1,250.00 ",N/A ,N/A 
New Zealand Citizen Family Relationship (Temporary) visa (subclass 461) ,AUD445.00 ,AUD225.00 ,AUD110.00 ,N/A ,N/A 
Orphan Relative visa (subclass 117) ,"AUD1,980.00 ",AUD990.00 ,AUD500.00 ,N/A ,N/A 
Orphan Relative visa (subclass 837) ,"AUD1,980.00 ",AUD990.00 ,AUD500.00 ,N/A ,N/A 
Pacific Engagement visa (subclass 192) - Pacific Engagement stream ,AUD335.00 ,AUD80.00 ,AUD80.00 ,N/A ,N/A 
Pacific Engagement visa (subclass 192) - Treat stream (Tuvalu) ,AUD200.00 ,AUD50.00 ,AUD50.00 ,N/A ,N/A 
Parent visa (subclass 103) ,"AUD5,280.00 ","AUD2,640.00 ","AUD1,325.00 ",N/A ,N/A 
Partner (Provisional and Migrant) visa (subclass 309/100) ,"AUD9,365.00 ","AUD4,685.00 ","AUD2,345.00 ",N/A ,N/A 
Partner visa (subclass 820/801) ,"AUD9,365.00 ","AUD4,685.00 ","AUD2,345.00 ",N/A ,N/A 
Partner visa (subclass 820/801) - Application by Prospective Marriage visa holder ,"AUD1,560.00 ",AUD785.00 ,AUD390.00 ,N/A ,N/A 
Partner visa (subclass 820/801) - Ceased Prospective Marriage visa  ,"AUD1,980.00 ",AUD990.00 ,AUD500.00 ,N/A ,N/A 
Partner visa (subclass 820/801) - Transitional visa holder ,AUD560.00 ,AUD280.00 ,AUD145.00 ,N/A ,N/A 
Permanent Residence (Skilled Regional) visa (subclass 191) - Hong Kong stream ,"AUD4,910.00 ","AUD2,450.00 ","AUD1,230.00 ",N/A ,N/A 
Permanent Residence (Skilled Regional) visa (subclass 191) Regional Provisional stream ,AUD505.00 ,AUD250.00 ,AUD130.00 ,N/A ,N/A 
Prospective Marriage visa (subclass 300) ,"AUD9,365.00 ","AUD4,685.00 ","AUD2,345.00 ",N/A ,N/A 
Protection visa (subclass 866) lodged in Australia ,AUD50.00 ,N/A ,N/A ,N/A ,N/A 
Provisional Resident Return visa (subclass 159) ,AUD245.00 ,AUD125.00 ,AUD60.00 ,N/A ,N/A 
"Refugee category visas (Subclass 200, 201, 203 and 204) ",AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Regional Sponsored Migration Scheme visa (subclass 187) - Temporary Residence Transition stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Remaining Relative visa (subclass 115) ,"AUD5,280.00 ","AUD2,640.00 ","AUD1,325.00 ",N/A ,N/A 
Remaining Relative visa (subclass 835) ,"AUD5,280.00 ","AUD2,640.00 ","AUD1,325.00 ",N/A ,N/A 
Resident Return visa (subclass 155/157) ,AUD490.00 ,N/A ,N/A ,AUD80.00 ,N/A 
Resolution of Status (subclass 851) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Retirement visa (subclass 410) ,AUD500.00 ,AUD250.00 ,AUD125.00 ,N/A ,N/A 
Safe Haven Enterprise visa (subclass 790) - lodged in Australia by an applicant who is in immigration detention and not immigration cleared ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Safe Haven Enterprise visa (subclass 790) lodged in Australia ,AUD50.00 ,N/A ,N/A ,N/A ,N/A 
Skilled - Recognised Graduate visa (subclass 476) ,AUD465.00 ,AUD230.00 ,AUD115.00 ,AUD80.00 ,N/A 
Skilled Employer Sponsored Regional (Provisional) visa (subclass 494) - Employer Sponsored stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Employer Sponsored Regional (Provisional) visa (subclass 494) - Labour Agreement stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Employer Sponsored Regional (Provisional) visa (subclass 494) - Subsequent entrant ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Independent visa (subclass 189) - Hong Kong stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Independent visa (subclass 189) - Points tested stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Nominated visa (subclass 190) ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Regional (Provisional) visa (subclass 489) - Extended stay pathway ,AUD435.00 ,AUD220.00 ,AUD110.00 ,N/A ,N/A 
Skilled Regional (Provisional) visa (subclass 489) - Subsequent entry pathway ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Skilled Regional visa (subclass 887) ,AUD505.00 ,AUD250.00 ,AUD130.00 ,N/A ,N/A 
Skilled Work Regional (Provisional) visa (subclass 491) ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A
Skills in Demand Visa (subclass 482) - Core Skills stream ,"AUD3,210.00 ","AUD3,210.00 ",AUD805.00 ,N/A ,AUD700.00 
Skills in Demand visa (subclass 482) - Labour agreement stream ,"AUD3,210.00 ","AUD3,210.00 ",AUD805.00 ,N/A ,N/A 
Skills in Demand visa (subclass 482) - Specialist Skills stream ,"AUD3,210.00 ","AUD3,210.00 ",AUD805.00 ,N/A ,N/A 
Special Category visa (subclass 444) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Sponsored Parent (temporary) visa (subclass 870) ,"AUD1,215.00 ",N/A ,N/A ,N/A ,N/A 
State or Territory Sponsored Business Owner visa (subclass 892) ,"AUD2,890.00 ","AUD1,445.00 ",AUD720.00 ,N/A ,N/A 
State or Territory Sponsored Investor visa (subclass 893) ,"AUD2,890.00 ","AUD1,445.00 ",AUD720.00 ,N/A ,N/A 
Student Guardian visa (subclass 590) ,"AUD2,000.00 ",AUD0.00 ,AUD400.00 ,N/A ,AUD700.00 
Student Guardian visa (subclass 590) - eligible Pacific Island and Timor-Leste Student and Student Guardian visa applicants ,AUD730.00 ,N/A ,AUD180.00 ,N/A ,AUD700.00 
Student visa (subclass 500) - All other students ,"AUD2,000.00 ","AUD1,225.00 ",AUD400.00 ,N/A ,AUD700.00 
Student visa (subclass 500) - All other students - eligible Pacific Island and Timor-Leste Student and Student Guardian visa applicants ,AUD730.00 ,AUD545.00 ,AUD180.00 ,N/A ,AUD700.00 
Student visa (subclass 500) - Foreign Affairs or Defence sector ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Student visa (subclass 500) - Postgraduate research sector ,"AUD2,000.00 ",AUD0.00 ,AUD0.00 ,AUD0.00 ,AUD0.00 
Student visa (subclass 500) - Postgraduate research sector - eligible Pacific Island and Timor-Leste Student and Student Guardian visa applicants ,AUD730.00 ,N/A ,N/A ,N/A ,N/A 
Student visa (subclass 500) - Secondary exchange (Schools sector) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Temporary Activity visa (subclass 408) - Australian Government Endorsed Events stream ,AUD430.00 ,AUD430.00 ,AUD110.00 ,N/A ,AUD700.00 
